block_number,block_timestamp_utc,transaction_index,transaction_hash,method,call_scope,tx_from_address,tx_to_address,transfer_log_count,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8943162,2019-11-16 07:25:23 UTC,192,0x1bb323576cd7dcb12e9f8507a5e298a0136927a486f959e3984cb7cca21ed96b,contract_creation,creation,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,,1,nonburn_transfer,0,0,1000000000000000000000000000
8943297,2019-11-16 08:02:34 UTC,178,0x37588145e12adb840d11ce70cfbf329d5c1ad20006e0a2f31e05e5f2b0452f00,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1000000000000000000000000,9000000000000000000000000
8943297,2019-11-16 08:02:34 UTC,179,0xe4143d391639d73a457f0bee9c6280000f4f11910382952c26df2b440989fbef,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,9000000000000000000000000,81000000000000000000000000
8943472,2019-11-16 08:47:19 UTC,20,0xa08f40ee9c0b5c6a9f296daeb4f58d6b68dcb989a36292e2139f8e3d7aa4120f,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943472,2019-11-16 08:47:19 UTC,21,0xb49543190e89a14fe8360a32728fc7e9f031dde1e07b1a61540b78aa716c1bf5,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,223,0xc37e1f57f2dcfe9a54cba329d55f2143cd8987c92e5a6bb9a4e6c954e34b110c,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,224,0x8eceed60c53542c0a97b83fab7b73d2a2f2de0084d9d72e0813f8ff1d0a6262c,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,225,0x695e90aab7d54c7fb1536b08528430d688c144ffa5f21daf4e37a1663151cdfe,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,226,0x96ebfba8c9a0da721c3edb863a8a1f68445cafaabbf0f717e40748756653dcdd,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,227,0x7943bf111f0c2654e040dc9303638fd407845e4814b8668a4ae75b703c50e0fb,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
