block_number,block_timestamp_utc,transaction_index,transaction_hash,method,call_scope,outer_method,traced_token_method,trace_status,trace_token_call_count,trace_address,trace_from_address,tx_from_address,tx_to_address,transfer_log_count,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8949315,2019-11-17 07:53:20 UTC,165,0xb5e19b25372c2fb4a9897b132e2a2566f74d2f3a9dd97e5933f2a88cc405e4d1,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949318,2019-11-17 07:54:26 UTC,27,0x0e4956cffc05c2a55fee8e16f5c96c83af32153555028cc7de9b5689449a1d29,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949320,2019-11-17 07:54:42 UTC,76,0x393e9c40604b8143285736922c3da1be8e1f872ee237751b7eb343975da2df3e,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949320,2019-11-17 07:54:42 UTC,77,0xbe33007b74f807ce17a46fdb8cfc6ef8e702b0c86746489ad5bdf01122aba9b6,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949325,2019-11-17 07:56:41 UTC,80,0x9ecdc2f96d89737ae0c7b079a5c80d193387d454dd40fd1fbfd38cf21a8895ef,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949325,2019-11-17 07:56:41 UTC,81,0x0704d7fa07143216e373bf3b24dfd0cf2ca6bb5140e7055b6cd778ba2759d08f,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949332,2019-11-17 07:58:13 UTC,127,0x0ecdbdf3115f4260d579c19915c5a6c6048ac162ace95fbe00cdd2f7b8bebbd8,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949332,2019-11-17 07:58:13 UTC,128,0x6be5ee6569db1c6fb41f233362deb4a79e0211b90a96e81f2319afc72af8ceec,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949336,2019-11-17 07:59:44 UTC,131,0xd316dd0cd19af73b0cb941099c750f907dc7677407613e80a3215612cd557e45,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949336,2019-11-17 07:59:44 UTC,132,0x852733c2aaa69cf0d213bdfa65d23f37e38cb85a3ac9e9e607b89e8e0a566be0,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
