block_number,block_timestamp_utc,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,method,call_scope,tx_from_address,tx_to_address,event,from_address,to_address,raw_value
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x8eceed60c53542c0a97b83fab7b73d2a2f2de0084d9d72e0813f8ff1d0a6262c,224,149,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x1f97abbae8ca0ede92b8f538a171108143d77e39,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x8eceed60c53542c0a97b83fab7b73d2a2f2de0084d9d72e0813f8ff1d0a6262c,224,150,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x695e90aab7d54c7fb1536b08528430d688c144ffa5f21daf4e37a1663151cdfe,225,151,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x45c957f1766a278000a558f4cc48a85f6439edca,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x695e90aab7d54c7fb1536b08528430d688c144ffa5f21daf4e37a1663151cdfe,225,152,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x96ebfba8c9a0da721c3edb863a8a1f68445cafaabbf0f717e40748756653dcdd,226,153,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xae1cf12df3f23da33d720ad0be3c5d137da767d2,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x96ebfba8c9a0da721c3edb863a8a1f68445cafaabbf0f717e40748756653dcdd,226,154,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x7943bf111f0c2654e040dc9303638fd407845e4814b8668a4ae75b703c50e0fb,227,155,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x04b0fd120da42e525281e0dfc1f91c9ec5433ea6,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x7943bf111f0c2654e040dc9303638fd407845e4814b8668a4ae75b703c50e0fb,227,156,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x0a43c8fed129b7a301b2167d0b3446afc06dc0fb5b3a24641bb35e1f69ba85e8,228,157,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x46434a03be534e29169372196d19a2d3bab43381,10774940571000000000000
8943527,2019-11-16 08:59:24 UTC,1573894764,0xb05b6138a071d0d1f2c0a3a4da432abe8ddca88144d872f7a7c4a0f7fdce9a3d,0x0a43c8fed129b7a301b2167d0b3446afc06dc0fb5b3a24641bb35e1f69ba85e8,228,158,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
